id,name,description,price
1,Laptop X1,Powerful laptop with high-performance features,1200.00
2,Smartphone Pro,Advanced smartphone with cutting-edge technology,800.00
3,Bookshelf Speaker Set,Premium speakers for an immersive audio experience,300.00
4,Garden Tool Kit,Complete set of essential tools for gardening,50.00
5,Smart Thermostat,Energy-efficient thermostat for smart home control,100.00
6,Running Shoes,High-performance running shoes for avid runners,80.00
7,Decadent Chocolate Cake,Rich and moist chocolate cake for dessert lovers,25.00
8,Home Security Camera System,Wireless camera system for home surveillance,150.00
9,Camping Tent,Spacious and durable tent for outdoor adventures,120.00
10,Canvas Art Set,Set of three canvas prints for home decor,70.00
