id,name,address
1,ElectroTech,123 Main Street Cityville
2,Trendy Boutique,456 Fashion Avenue Trendy City
3,Book Haven,789 Bookworm Lane Reading Town
4,Green Thumb Nursery,321 Garden Street Bloomsburg
5,Tech Haven,555 Gadget Boulevard Tech City
6,Sporty Gear Emporium,987 Athletic Avenue Fitnessville
7,Sweet Delights Bakery,654 Sugar Lane Dessert City
8,Home Essentials Mart,210 Homeware Plaza Houseburg
9,Outdoor Adventures Store,876 Nature Trail Outdoor Town
10,Artistry Gallery,432 Creative Corner Artsburg
